t,sz,p_excited
0.000000,-1.000000,1.000000
0.100000,-0.995004,0.997502
0.200000,-0.980068,0.990034
0.300000,-0.955348,0.977674
0.400000,-0.921101,0.960550
0.500000,-0.877682,0.938841
0.600000,-0.825543,0.912771
0.700000,-0.765225,0.882613
0.800000,-0.697356,0.848678
0.900000,-0.622640,0.811320
1.000000,-0.541854,0.770927
1.100000,-0.455838,0.727919
1.200000,-0.365484,0.682742
1.300000,-0.271732,0.635866
1.400000,-0.175557,0.587778
1.500000,-0.077957,0.538978
1.600000,0.020054,0.489973
1.700000,0.117456,0.441272
1.800000,0.213238,0.393381
1.900000,0.306405,0.346798
2.000000,0.395988,0.302006
2.100000,0.481057,0.259472
2.200000,0.560727,0.219636
2.300000,0.634171,0.182914
2.400000,0.700626,0.149687
2.500000,0.759401,0.120300
2.600000,0.809885,0.095057
2.700000,0.851554,0.074223
2.800000,0.883975,0.058013
2.900000,0.906811,0.046595
3.000000,0.919824,0.040088
3.100000,0.922880,0.038560
3.200000,0.915947,0.042027
3.300000,0.899096,0.050452
3.400000,0.872503,0.063748
3.500000,0.836445,0.081778
3.600000,0.791295,0.104352
3.700000,0.737523,0.131238
3.800000,0.675689,0.162156
3.900000,0.606433,0.196783
4.000000,0.530477,0.234762
4.100000,0.448609,0.275696
4.200000,0.361679,0.319160
4.300000,0.270592,0.364704
4.400000,0.176294,0.411853
4.500000,0.079765,0.460118
4.600000,-0.017993,0.508997
4.700000,-0.115964,0.557982
4.800000,-0.213129,0.606564
4.900000,-0.308478,0.654239
5.000000,-0.401022,0.700511
5.100000,-0.489799,0.744899
5.200000,-0.573885,0.786943
5.300000,-0.652408,0.826204
5.400000,-0.724551,0.862275
5.500000,-0.789564,0.894782
5.600000,-0.846773,0.923386
5.700000,-0.895582,0.947791
5.800000,-0.935485,0.967742
5.900000,-0.966067,0.983033
6.000000,-0.987009,0.993505
6.100000,-0.998095,0.999048
6.200000,-0.999210,0.999605
6.300000,-0.990341,0.995171
6.400000,-0.971581,0.985791
6.500000,-0.943125,0.971563
6.600000,-0.905269,0.952634
6.700000,-0.858405,0.929202
6.800000,-0.803021,0.901511
6.900000,-0.739693,0.869846
7.000000,-0.669078,0.834539
7.100000,-0.591910,0.795955
7.200000,-0.508991,0.754495
7.300000,-0.421183,0.710591
7.400000,-0.329397,0.664699
7.500000,-0.234589,0.617295
7.600000,-0.137743,0.568871
7.700000,-0.039865,0.519932
7.800000,0.058028,0.470986
7.900000,0.154918,0.422541
8.000000,0.249799,0.375101
8.100000,0.341684,0.329158
8.200000,0.429620,0.285190
8.300000,0.512692,0.243654
8.400000,0.590036,0.204982
8.500000,0.660850,0.169575
8.600000,0.724398,0.137801
8.700000,0.780019,0.109991
8.800000,0.827135,0.086433
8.900000,0.865256,0.067372
9.000000,0.893988,0.053006
9.100000,0.913030,0.043485
9.200000,0.922185,0.038907
9.300000,0.921359,0.039321
9.400000,0.910559,0.044721
9.500000,0.889898,0.055051
9.600000,0.859590,0.070205
9.700000,0.819951,0.090024
9.800000,0.771393,0.114304
9.900000,0.714419,0.142790
10.000000,0.649623,0.175189
